"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test","This test will create a new categories and verify its generated","SUCCESS","2020-06-08T23:58:16.098+01:00[Europe/London]","0.0","4.25"
"Categories CRUD test","This test will get the categories information by ID","SUCCESS","2020-06-08T23:58:20.375+01:00[Europe/London]","0.0","0.08"
"Categories CRUD test","This test will update the categories information and verify the updated information","SUCCESS","2020-06-08T23:58:20.457+01:00[Europe/London]","0.0","0.16"
"Categories CRUD test","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2020-06-08T23:58:20.626+01:00[Europe/London]","0.0","0.22"
"Product CRUD test","This test will create a new products and verify its generated","SUCCESS","2020-06-08T23:58:22.579+01:00[Europe/London]","0.0","0.09"
"Product CRUD test","This test will get the product information by ID","SUCCESS","2020-06-08T23:58:22.668+01:00[Europe/London]","0.0","0.03"
"Product CRUD test","This test will update the product information and verify the updated information","SUCCESS","2020-06-08T23:58:22.701+01:00[Europe/London]","0.0","0.08"
"Product CRUD test","This test will delete the product information and verify the product is deleted ","SUCCESS","2020-06-08T23:58:22.780+01:00[Europe/London]","0.0","0.08"
"Services CRUD test","This test will create a new services and verify its generated","SUCCESS","2020-06-08T23:58:22.929+01:00[Europe/London]","0.0","0.07"
"Services CRUD test","This test will get the service information by ID","SUCCESS","2020-06-08T23:58:23+01:00[Europe/London]","0.0","0.03"
"Services CRUD test","This test will update the services information and verify the updated information","SUCCESS","2020-06-08T23:58:23.029+01:00[Europe/London]","0.0","0.08"
"Services CRUD test","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2020-06-08T23:58:23.112+01:00[Europe/London]","0.0","0.05"
"Stores CRUD test","This test will create a new stores and verify its generated","SUCCESS","2020-06-08T23:58:23.213+01:00[Europe/London]","0.0","0.09"
"Stores CRUD test","This test will get the stores information by ID","SUCCESS","2020-06-08T23:58:23.306+01:00[Europe/London]","0.0","0.03"
"Stores CRUD test","This test will update the store information and verify the updated information","SUCCESS","2020-06-08T23:58:23.336+01:00[Europe/London]","0.0","0.07"
"Stores CRUD test","This test will delete the store and verify the store is deleted ","SUCCESS","2020-06-08T23:58:23.412+01:00[Europe/London]","0.0","0.06"
